llave_sintetica,k
F_01_1_1-4,28
F_01_1_5-9,16
F_01_1_70-74,43
F_01_1_80-84,45
F_01_1_85 y más,40
F_01_1_Menor de 1,3
F_01_2_1-4,6
F_01_2_5-9,11
F_01_2_70-74,43
F_01_2_75-79,37
F_01_2_80-84,29
F_01_2_Menor de 1,1
F_02_1_1-4,2
F_02_1_10-14,9
F_02_1_15-19,27
F_02_1_20-24,48
F_02_1_25-29,23
F_02_1_30-34,15
F_02_1_35-39,16
F_02_1_40-44,11
F_02_1_45-49,15
F_02_1_5-9,4
F_02_1_50-54,10
F_02_1_55-59,16
F_02_1_60-64,6
F_02_1_65-69,5
F_02_1_70-74,4
F_02_1_75-79,7
F_02_1_80-84,4
F_02_1_85 y más,6
F_02_2_1-4,1
F_02_2_10-14,32
F_02_2_20-24,35
F_02_2_25-29,26
F_02_2_30-34,12
F_02_2_35-39,13
F_02_2_40-44,16
F_02_2_45-49,15
F_02_2_5-9,4
F_02_2_50-54,10
F_02_2_55-59,16
F_02_2_60-64,5
F_02_2_65-69,9
F_02_2_70-74,5
F_02_2_75-79,1
F_02_2_80-84,7
F_02_2_85 y más,7
F_03_1_1-4,1
F_03_1_10-14,17
F_03_1_5-9,4
F_03_1_55-59,49
F_03_1_60-64,46
F_03_1_65-69,24
F_03_1_70-74,21
F_03_1_75-79,13
F_03_1_80-84,13
F_03_1_85 y más,11
F_03_1_Menor de 1,1
F_03_2_1-4,3
F_03_2_25-29,40
F_03_2_35-39,46
F_03_2_40-44,30
F_03_2_45-49,28
F_03_2_5-9,1
F_03_2_50-54,33
F_03_2_55-59,33
F_03_2_60-64,22
F_03_2_65-69,33
F_03_2_70-74,26
F_03_2_75-79,20
F_03_2_80-84,16
F_03_2_85 y más,22
F_04_1_1-4,1
F_04_1_10-14,10
F_04_1_15-19,19
F_04_1_20-24,18
F_04_1_25-29,25
F_04_1_30-34,17
F_04_1_35-39,8
F_04_1_40-44,16
F_04_1_45-49,13
F_04_1_5-9,1
F_04_1_50-54,5
F_04_1_55-59,5
F_04_1_60-64,8
F_04_1_65-69,2
F_04_1_70-74,1
F_04_1_75-79,3
F_04_1_85 y más,1
F_04_2_1-4,2
F_04_2_10-14,19
F_04_2_15-19,38
F_04_2_20-24,32
F_04_2_25-29,20
F_04_2_30-34,19
F_04_2_35-39,13
F_04_2_40-44,12
F_04_2_45-49,9
F_04_2_5-9,5
F_04_2_50-54,13
F_04_2_55-59,4
F_04_2_60-64,3
F_04_2_65-69,2
F_04_2_75-79,1
F_04_2_80-84,1
F_04_2_85 y más,4
F_05_1_1-4,4
F_05_1_10-14,28
F_05_1_40-44,27
F_05_1_45-49,24
F_05_1_5-9,10
F_05_1_50-54,32
F_05_1_55-59,25
F_05_1_60-64,3
F_05_1_65-69,13
F_05_1_70-74,10
F_05_1_75-79,8
F_05_1_80-84,6
F_05_1_85 y más,10
F_05_1_Menor de 1,3
F_05_2_1-4,2
F_05_2_40-44,37
F_05_2_45-49,28
F_05_2_5-9,7
F_05_2_50-54,30
F_05_2_55-59,32
F_05_2_60-64,14
F_05_2_65-69,6
F_05_2_70-74,12
F_05_2_75-79,11
F_05_2_80-84,6
F_05_2_85 y más,8
F_05_2_Menor de 1,4
F_06_1_1-4,2
F_06_1_10-14,39
F_06_1_45-49,46
F_06_1_5-9,7
F_06_1_50-54,42
F_06_1_55-59,37
F_06_1_60-64,22
F_06_1_65-69,16
F_06_1_70-74,15
F_06_1_75-79,13
F_06_1_80-84,9
F_06_1_85 y más,15
F_06_2_1-4,2
F_06_2_45-49,42
F_06_2_5-9,1
F_06_2_50-54,46
F_06_2_55-59,31
F_06_2_60-64,45
F_06_2_65-69,27
F_06_2_70-74,24
F_06_2_75-79,14
F_06_2_80-84,23
F_06_2_85 y más,28
F_06_2_Menor de 1,1
F_07_1_1-4,9
F_07_1_10-14,9
F_07_1_15-19,45
F_07_1_30-34,47
F_07_1_40-44,38
F_07_1_45-49,35
F_07_1_5-9,1
F_07_1_50-54,22
F_07_1_55-59,21
F_07_1_60-64,12
F_07_1_65-69,19
F_07_1_70-74,12
F_07_1_75-79,4
F_07_1_80-84,3
F_07_1_85 y más,10
F_07_1_Menor de 1,3
F_07_2_1-4,2
F_07_2_10-14,45
F_07_2_25-29,39
F_07_2_30-34,25
F_07_2_40-44,44
F_07_2_45-49,28
F_07_2_5-9,3
F_07_2_50-54,22
F_07_2_55-59,17
F_07_2_60-64,15
F_07_2_65-69,16
F_07_2_70-74,13
F_07_2_75-79,3
F_07_2_80-84,9
F_07_2_85 y más,20
F_08_1_1-4,4
F_08_1_10-14,14
F_08_1_35-39,46
F_08_1_40-44,35
F_08_1_45-49,23
F_08_1_5-9,1
F_08_1_50-54,12
F_08_1_55-59,15
F_08_1_60-64,5
F_08_1_65-69,6
F_08_1_70-74,11
F_08_1_75-79,3
F_08_1_80-84,6
F_08_1_85 y más,3
F_08_2_1-4,1
F_08_2_10-14,35
F_08_2_40-44,47
F_08_2_45-49,30
F_08_2_5-9,2
F_08_2_50-54,29
F_08_2_55-59,31
F_08_2_60-64,19
F_08_2_65-69,10
F_08_2_70-74,7
F_08_2_75-79,5
F_08_2_80-84,1
F_08_2_85 y más,1
F_08_2_Menor de 1,3
F_09_1_75-79,45
F_09_1_80-84,33
F_09_1_85 y más,23
F_09_1_Menor de 1,15
F_09_2_5-9,46
F_09_2_75-79,36
F_09_2_80-84,21
F_09_2_85 y más,36
F_09_2_Menor de 1,24
F_10_1_1-4,8
F_10_1_10-14,49
F_10_1_45-49,29
F_10_1_5-9,19
F_10_1_50-54,31
F_10_1_55-59,18
F_10_1_60-64,21
F_10_1_65-69,13
F_10_1_70-74,18
F_10_1_75-79,14
F_10_1_80-84,12
F_10_1_85 y más,14
F_10_1_Menor de 1,2
F_10_2_1-4,9
F_10_2_5-9,13
F_10_2_55-59,37
F_10_2_60-64,43
F_10_2_65-69,26
F_10_2_70-74,19
F_10_2_75-79,14
F_10_2_80-84,8
F_10_2_85 y más,17
F_10_2_Menor de 1,1
F_11_1_1-4,4
F_11_1_10-14,29
F_11_1_5-9,19
F_11_1_50-54,35
F_11_1_55-59,48
F_11_1_60-64,38
F_11_1_65-69,44
F_11_1_70-74,15
F_11_1_75-79,19
F_11_1_80-84,14
F_11_1_85 y más,26
F_11_2_1-4,4
F_11_2_5-9,10
F_11_2_50-54,35
F_11_2_55-59,29
F_11_2_60-64,34
F_11_2_65-69,29
F_11_2_70-74,15
F_11_2_75-79,19
F_11_2_80-84,19
F_11_2_85 y más,35
F_12_1_1-4,7
F_12_1_10-14,15
F_12_1_35-39,37
F_12_1_40-44,35
F_12_1_45-49,28
F_12_1_5-9,5
F_12_1_50-54,15
F_12_1_55-59,20
F_12_1_60-64,16
F_12_1_65-69,11
F_12_1_70-74,7
F_12_1_75-79,11
F_12_1_80-84,8
F_12_1_85 y más,5
F_12_1_Menor de 1,3
F_12_2_1-4,6
F_12_2_10-14,27
F_12_2_35-39,40
F_12_2_40-44,33
F_12_2_45-49,29
F_12_2_5-9,4
F_12_2_50-54,37
F_12_2_55-59,26
F_12_2_60-64,10
F_12_2_65-69,4
F_12_2_70-74,9
F_12_2_75-79,3
F_12_2_80-84,7
F_12_2_85 y más,7
F_12_2_Menor de 1,3
F_13_1_1-4,38
F_13_1_10-14,45
F_13_1_45-49,44
F_13_1_5-9,29
F_13_1_50-54,41
F_13_1_55-59,45
F_13_1_60-64,47
F_13_1_65-69,24
F_13_1_70-74,23
F_13_1_75-79,25
F_13_1_80-84,21
F_13_1_85 y más,27
F_13_1_Menor de 1,4
F_13_2_1-4,26
F_13_2_5-9,18
F_13_2_55-59,38
F_13_2_60-64,46
F_13_2_65-69,35
F_13_2_70-74,26
F_13_2_75-79,17
F_13_2_80-84,25
F_13_2_85 y más,35
F_13_2_Menor de 1,7
F_14_1_1-4,3
F_14_1_10-14,4
F_14_1_15-19,29
F_14_1_20-24,38
F_14_1_25-29,31
F_14_1_30-34,18
F_14_1_35-39,36
F_14_1_40-44,35
F_14_1_45-49,20
F_14_1_5-9,2
F_14_1_50-54,12
F_14_1_55-59,14
F_14_1_60-64,15
F_14_1_65-69,11
F_14_1_70-74,3
F_14_1_80-84,1
F_14_1_85 y más,2
F_14_2_1-4,2
F_14_2_10-14,28
F_14_2_15-19,39
F_14_2_20-24,17
F_14_2_25-29,13
F_14_2_30-34,12
F_14_2_35-39,12
F_14_2_40-44,10
F_14_2_45-49,7
F_14_2_5-9,1
F_14_2_50-54,10
F_14_2_55-59,7
F_14_2_60-64,6
F_14_2_65-69,4
F_14_2_70-74,3
F_14_2_75-79,4
F_14_2_80-84,1
F_14_2_85 y más,2
F_14_2_Menor de 1,1
F_15_1_10-14,2
F_15_1_15-19,9
F_15_1_20-24,12
F_15_1_25-29,17
F_15_1_30-34,16
F_15_1_35-39,15
F_15_1_40-44,6
F_15_1_45-49,7
F_15_1_5-9,1
F_15_1_50-54,3
F_15_1_55-59,2
F_15_1_60-64,2
F_15_1_65-69,2
F_15_1_70-74,1
F_15_1_75-79,1
F_15_1_80-84,1
F_15_1_85 y más,1
F_15_2_10-14,11
F_15_2_15-19,15
F_15_2_20-24,17
F_15_2_25-29,17
F_15_2_30-34,9
F_15_2_35-39,13
F_15_2_40-44,8
F_15_2_45-49,13
F_15_2_5-9,1
F_15_2_50-54,4
F_15_2_55-59,1
F_15_2_75-79,2
F_15_2_85 y más,1
F_16_1_1-4,1
F_16_1_10-14,4
F_16_1_15-19,25
F_16_1_20-24,28
F_16_1_25-29,32
F_16_1_30-34,19
F_16_1_35-39,23
F_16_1_40-44,9
F_16_1_45-49,7
F_16_1_5-9,1
F_16_1_50-54,2
F_16_1_55-59,7
F_16_1_60-64,3
F_16_1_65-69,3
F_16_1_70-74,2
F_16_1_80-84,4
F_16_1_85 y más,3
F_16_2_10-14,18
F_16_2_15-19,34
F_16_2_20-24,20
F_16_2_25-29,30
F_16_2_30-34,21
F_16_2_35-39,16
F_16_2_40-44,10
F_16_2_45-49,8
F_16_2_50-54,3
F_16_2_55-59,5
F_16_2_60-64,4
F_16_2_65-69,3
F_16_2_70-74,1
F_16_2_75-79,1
F_16_2_80-84,1
F_16_2_85 y más,2
F_16_2_Menor de 1,1
F_17_1_1-4,33
F_17_1_5-9,33
F_17_1_Menor de 1,3
F_17_2_1-4,21
F_17_2_5-9,44
F_17_2_Menor de 1,8
F_18_1_1-4,15
F_18_1_5-9,19
F_18_1_55-59,41
F_18_1_65-69,22
F_18_1_70-74,22
F_18_1_75-79,12
F_18_1_80-84,16
F_18_1_85 y más,23
F_18_1_Menor de 1,2
F_18_2_1-4,9
F_18_2_5-9,7
F_18_2_65-69,38
F_18_2_70-74,28
F_18_2_75-79,34
F_18_2_80-84,16
F_18_2_85 y más,22
F_18_2_Menor de 1,3
F_19_1_1-4,1
F_19_1_10-14,2
F_19_1_15-19,15
F_19_1_20-24,20
F_19_1_25-29,24
F_19_1_30-34,9
F_19_1_35-39,9
F_19_1_40-44,3
F_19_1_45-49,12
F_19_1_50-54,14
F_19_1_55-59,8
F_19_1_60-64,5
F_19_1_65-69,1
F_19_1_70-74,3
F_19_1_80-84,2
F_19_1_85 y más,3
F_19_2_10-14,13
F_19_2_15-19,21
F_19_2_20-24,18
F_19_2_25-29,30
F_19_2_30-34,19
F_19_2_35-39,19
F_19_2_40-44,12
F_19_2_45-49,7
F_19_2_5-9,3
F_19_2_50-54,5
F_19_2_55-59,3
F_19_2_60-64,3
F_19_2_65-69,4
F_19_2_70-74,4
F_19_2_75-79,1
F_19_2_80-84,2
F_19_2_85 y más,3
F_20_1_1-4,1
F_20_1_10-14,3
F_20_1_15-19,19
F_20_1_20-24,28
F_20_1_25-29,19
F_20_1_30-34,12
F_20_1_35-39,11
F_20_1_40-44,9
F_20_1_45-49,14
F_20_1_5-9,2
F_20_1_50-54,7
F_20_1_55-59,1
F_20_1_60-64,5
F_20_1_65-69,4
F_20_1_70-74,2
F_20_1_75-79,4
F_20_1_Menor de 1,1
F_20_2_1-4,1
F_20_2_10-14,13
F_20_2_15-19,21
F_20_2_20-24,9
F_20_2_25-29,18
F_20_2_30-34,7
F_20_2_35-39,13
F_20_2_40-44,7
F_20_2_45-49,14
F_20_2_50-54,4
F_20_2_55-59,9
F_20_2_60-64,5
F_20_2_65-69,3
F_21_1_10-14,3
F_21_1_15-19,8
F_21_1_20-24,12
F_21_1_25-29,11
F_21_1_30-34,14
F_21_1_35-39,7
F_21_1_40-44,7
F_21_1_45-49,3
F_21_1_50-54,2
F_21_1_55-59,6
F_21_1_60-64,2
F_21_1_75-79,1
F_21_1_80-84,3
F_21_1_85 y más,1
F_21_2_10-14,5
F_21_2_15-19,16
F_21_2_20-24,11
F_21_2_25-29,10
F_21_2_30-34,5
F_21_2_35-39,11
F_21_2_40-44,4
F_21_2_45-49,13
F_21_2_50-54,6
F_21_2_55-59,1
F_21_2_60-64,3
F_21_2_65-69,2
F_21_2_70-74,2
F_21_2_80-84,1
F_21_2_85 y más,2
F_22_1_1-4,1
F_22_1_15-19,8
F_22_1_20-24,11
F_22_1_25-29,15
F_22_1_30-34,10
F_22_1_35-39,11
F_22_1_40-44,3
F_22_1_45-49,5
F_22_1_5-9,1
F_22_1_50-54,2
F_22_1_55-59,3
F_22_1_60-64,5
F_22_1_65-69,1
F_22_1_70-74,1
F_22_1_75-79,1
F_22_1_80-84,2
F_22_2_1-4,3
F_22_2_10-14,11
F_22_2_15-19,8
F_22_2_20-24,10
F_22_2_25-29,14
F_22_2_30-34,6
F_22_2_35-39,6
F_22_2_40-44,4
F_22_2_45-49,3
F_22_2_5-9,1
F_22_2_50-54,3
F_22_2_55-59,3
F_22_2_60-64,1
F_22_2_70-74,2
F_22_2_80-84,2
F_22_2_85 y más,2
F_23_1_1-4,15
F_23_1_10-14,16
F_23_1_30-34,43
F_23_1_35-39,32
F_23_1_40-44,33
F_23_1_45-49,35
F_23_1_5-9,18
F_23_1_50-54,13
F_23_1_55-59,18
F_23_1_60-64,9
F_23_1_65-69,14
F_23_1_70-74,15
F_23_1_75-79,2
F_23_1_80-84,7
F_23_1_85 y más,6
F_23_1_Menor de 1,1
F_23_2_1-4,14
F_23_2_10-14,46
F_23_2_40-44,49
F_23_2_45-49,32
F_23_2_5-9,8
F_23_2_50-54,25
F_23_2_55-59,22
F_23_2_60-64,10
F_23_2_65-69,11
F_23_2_70-74,9
F_23_2_75-79,10
F_23_2_80-84,6
F_23_2_85 y más,8
F_23_2_Menor de 1,2
F_24_1_1-4,5
F_24_1_10-14,10
F_24_1_15-19,35
F_24_1_20-24,43
F_24_1_25-29,36
F_24_1_30-34,25
F_24_1_35-39,12
F_24_1_40-44,15
F_24_1_45-49,13
F_24_1_5-9,4
F_24_1_50-54,10
F_24_1_55-59,11
F_24_1_60-64,4
F_24_1_65-69,6
F_24_1_70-74,2
F_24_1_75-79,2
F_24_1_80-84,1
F_24_2_1-4,2
F_24_2_10-14,23
F_24_2_15-19,34
F_24_2_20-24,35
F_24_2_25-29,21
F_24_2_30-34,28
F_24_2_35-39,14
F_24_2_40-44,9
F_24_2_45-49,16
F_24_2_5-9,2
F_24_2_50-54,13
F_24_2_55-59,6
F_24_2_60-64,9
F_24_2_65-69,4
F_24_2_70-74,3
F_24_2_75-79,4
F_24_2_80-84,4
F_24_2_85 y más,1
F_24_2_Menor de 1,2
F_88_1_15-19,3
F_88_1_20-24,3
F_88_1_25-29,3
F_88_1_30-34,1
F_88_1_35-39,1
F_88_1_50-54,1
F_88_1_55-59,1
F_88_1_60-64,1
F_88_1_65-69,1
F_88_2_15-19,1
F_88_2_20-24,1
F_88_2_25-29,1
F_88_2_30-34,3
F_88_2_40-44,1
F_88_2_50-54,1
F_88_2_55-59,1
F_88_2_60-64,1
F_88_2_65-69,1
G_02_1_1-4,23
G_02_1_10-14,21
G_02_1_15-19,24
G_02_1_20-24,11
G_02_1_25-29,12
G_02_1_30-34,14
G_02_1_35-39,10
G_02_1_40-44,10
G_02_1_45-49,9
G_02_1_5-9,30
G_02_1_50-54,17
G_02_1_55-59,8
G_02_1_60-64,10
G_02_1_65-69,7
G_02_1_70-74,13
G_02_1_75-79,19
G_02_1_80-84,10
G_02_1_85 y más,6
G_02_1_Menor de 1,7
G_02_2_1-4,19
G_02_2_10-14,26
G_02_2_15-19,22
G_02_2_20-24,25
G_02_2_25-29,13
G_02_2_30-34,12
G_02_2_35-39,19
G_02_2_40-44,13
G_02_2_45-49,8
G_02_2_5-9,19
G_02_2_50-54,7
G_02_2_55-59,12
G_02_2_60-64,8
G_02_2_65-69,14
G_02_2_70-74,13
G_02_2_75-79,10
G_02_2_80-84,5
G_02_2_85 y más,11
G_02_2_Menor de 1,17
G_03_1_20-24,38
G_03_1_25-29,27
G_03_1_30-34,26
G_03_1_35-39,35
G_03_1_40-44,22
G_03_1_45-49,27
G_03_1_50-54,19
G_03_1_55-59,30
G_03_1_60-64,32
G_03_1_65-69,36
G_03_1_70-74,25
G_03_1_75-79,27
G_03_1_80-84,22
G_03_1_85 y más,20
G_03_1_Menor de 1,45
G_03_2_10-14,45
G_03_2_15-19,46
G_03_2_20-24,31
G_03_2_25-29,26
G_03_2_30-34,28
G_03_2_35-39,18
G_03_2_40-44,32
G_03_2_45-49,26
G_03_2_5-9,45
G_03_2_50-54,39
G_03_2_55-59,23
G_03_2_60-64,25
G_03_2_65-69,32
G_03_2_70-74,28
G_03_2_75-79,34
G_03_2_80-84,34
G_03_2_85 y más,24
G_03_2_Menor de 1,32
G_04_1_1-4,27
G_04_1_10-14,22
G_04_1_15-19,23
G_04_1_20-24,24
G_04_1_25-29,20
G_04_1_30-34,6
G_04_1_35-39,15
G_04_1_40-44,12
G_04_1_45-49,8
G_04_1_5-9,27
G_04_1_50-54,9
G_04_1_55-59,19
G_04_1_60-64,10
G_04_1_65-69,9
G_04_1_70-74,5
G_04_1_75-79,15
G_04_1_80-84,14
G_04_1_85 y más,5
G_04_1_Menor de 1,15
G_04_2_1-4,29
G_04_2_10-14,16
G_04_2_15-19,13
G_04_2_20-24,12
G_04_2_25-29,11
G_04_2_30-34,16
G_04_2_35-39,6
G_04_2_40-44,14
G_04_2_45-49,10
G_04_2_5-9,20
G_04_2_50-54,28
G_04_2_55-59,15
G_04_2_60-64,16
G_04_2_65-69,11
G_04_2_70-74,8
G_04_2_75-79,12
G_04_2_80-84,5
G_04_2_85 y más,8
G_04_2_Menor de 1,12
G_05_1_1-4,48
G_05_1_30-34,43
G_05_1_35-39,40
G_05_1_40-44,22
G_05_1_45-49,32
G_05_1_50-54,38
G_05_1_55-59,32
G_05_1_60-64,20
G_05_1_65-69,29
G_05_1_70-74,24
G_05_1_75-79,31
G_05_1_80-84,22
G_05_1_85 y más,8
G_05_2_20-24,45
G_05_2_25-29,27
G_05_2_30-34,33
G_05_2_35-39,34
G_05_2_40-44,40
G_05_2_45-49,37
G_05_2_5-9,40
G_05_2_50-54,32
G_05_2_55-59,16
G_05_2_60-64,28
G_05_2_65-69,23
G_05_2_70-74,17
G_05_2_75-79,23
G_05_2_80-84,18
G_05_2_85 y más,16
G_05_2_Menor de 1,34
G_06_1_25-29,42
G_06_1_30-34,27
G_06_1_40-44,37
G_06_1_45-49,42
G_06_1_50-54,38
G_06_1_55-59,33
G_06_1_60-64,40
G_06_1_65-69,40
G_06_1_70-74,29
G_06_1_75-79,32
G_06_1_80-84,17
G_06_1_85 y más,28
G_06_1_Menor de 1,34
G_06_2_20-24,39
G_06_2_40-44,43
G_06_2_45-49,36
G_06_2_55-59,34
G_06_2_60-64,41
G_06_2_65-69,30
G_06_2_70-74,32
G_06_2_75-79,41
G_06_2_80-84,39
G_06_2_85 y más,43
G_06_2_Menor de 1,21
G_07_1_20-24,37
G_07_1_30-34,37
G_07_1_35-39,46
G_07_1_50-54,35
G_07_1_70-74,45
G_07_1_75-79,39
G_07_1_80-84,28
G_07_1_85 y más,40
G_07_2_30-34,36
G_07_2_35-39,36
G_07_2_40-44,39
G_07_2_45-49,34
G_07_2_50-54,48
G_07_2_55-59,42
G_07_2_65-69,40
G_07_2_70-74,39
G_07_2_75-79,34
G_07_2_80-84,18
G_07_2_85 y más,39
G_08_1_15-19,45
G_08_1_20-24,35
G_08_1_25-29,30
G_08_1_35-39,31
G_08_1_40-44,30
G_08_1_45-49,25
G_08_1_50-54,20
G_08_1_55-59,22
G_08_1_60-64,35
G_08_1_65-69,32
G_08_1_70-74,28
G_08_1_75-79,32
G_08_1_80-84,18
G_08_1_85 y más,12
G_08_1_Menor de 1,32
G_08_2_15-19,37
G_08_2_20-24,38
G_08_2_25-29,33
G_08_2_30-34,45
G_08_2_35-39,37
G_08_2_45-49,34
G_08_2_50-54,28
G_08_2_55-59,28
G_08_2_60-64,28
G_08_2_65-69,28
G_08_2_70-74,27
G_08_2_75-79,23
G_08_2_80-84,15
G_08_2_85 y más,17
G_08_2_Menor de 1,21
G_10_1_30-34,48
G_10_1_45-49,41
G_10_1_50-54,39
G_10_1_55-59,42
G_10_1_60-64,45
G_10_1_65-69,48
G_10_1_70-74,35
G_10_1_75-79,41
G_10_1_80-84,30
G_10_1_85 y más,29
G_10_2_70-74,45
G_10_2_75-79,39
G_10_2_80-84,25
G_10_2_85 y más,28
G_11_1_20-24,35
G_11_1_55-59,44
G_11_1_75-79,46
G_11_1_Menor de 1,46
G_11_2_30-34,48
G_11_2_55-59,42
G_11_2_60-64,38
G_11_2_65-69,46
G_11_2_75-79,41
G_11_2_80-84,45
G_11_2_Menor de 1,35
G_12_1_35-39,47
G_12_1_45-49,43
G_12_1_50-54,31
G_12_1_55-59,45
G_12_1_60-64,46
G_12_1_65-69,45
G_12_1_70-74,27
G_12_1_75-79,29
G_12_1_80-84,20
G_12_1_85 y más,26
G_12_1_Menor de 1,44
G_12_2_20-24,41
G_12_2_25-29,37
G_12_2_30-34,27
G_12_2_35-39,45
G_12_2_45-49,38
G_12_2_50-54,39
G_12_2_60-64,28
G_12_2_65-69,27
G_12_2_70-74,35
G_12_2_75-79,30
G_12_2_80-84,21
G_12_2_85 y más,31
G_12_2_Menor de 1,46
G_14_1_1-4,39
G_14_1_20-24,38
G_14_1_25-29,30
G_14_1_30-34,22
G_14_1_35-39,16
G_14_1_40-44,9
G_14_1_45-49,9
G_14_1_5-9,39
G_14_1_50-54,12
G_14_1_55-59,10
G_14_1_60-64,11
G_14_1_65-69,17
G_14_1_70-74,13
G_14_1_75-79,11
G_14_1_80-84,12
G_14_1_85 y más,7
G_14_1_Menor de 1,14
G_14_2_10-14,39
G_14_2_15-19,41
G_14_2_20-24,35
G_14_2_25-29,18
G_14_2_30-34,17
G_14_2_35-39,19
G_14_2_40-44,20
G_14_2_45-49,14
G_14_2_50-54,12
G_14_2_55-59,14
G_14_2_60-64,27
G_14_2_65-69,9
G_14_2_70-74,13
G_14_2_75-79,11
G_14_2_80-84,5
G_14_2_85 y más,8
G_14_2_Menor de 1,20
G_15_1_1-4,32
G_15_1_10-14,19
G_15_1_15-19,13
G_15_1_20-24,16
G_15_1_25-29,13
G_15_1_30-34,4
G_15_1_35-39,7
G_15_1_40-44,11
G_15_1_45-49,4
G_15_1_5-9,12
G_15_1_50-54,8
G_15_1_55-59,5
G_15_1_60-64,7
G_15_1_65-69,6
G_15_1_70-74,7
G_15_1_75-79,1
G_15_1_80-84,3
G_15_1_85 y más,4
G_15_1_Menor de 1,16
G_15_2_1-4,29
G_15_2_10-14,17
G_15_2_15-19,15
G_15_2_20-24,10
G_15_2_25-29,22
G_15_2_30-34,9
G_15_2_35-39,6
G_15_2_40-44,5
G_15_2_45-49,7
G_15_2_5-9,27
G_15_2_50-54,9
G_15_2_55-59,11
G_15_2_60-64,7
G_15_2_65-69,5
G_15_2_70-74,6
G_15_2_75-79,1
G_15_2_85 y más,2
G_15_2_Menor de 1,16
G_16_1_1-4,17
G_16_1_10-14,19
G_16_1_15-19,7
G_16_1_20-24,15
G_16_1_25-29,12
G_16_1_30-34,14
G_16_1_35-39,12
G_16_1_40-44,9
G_16_1_45-49,5
G_16_1_5-9,18
G_16_1_50-54,8
G_16_1_55-59,11
G_16_1_60-64,6
G_16_1_65-69,9
G_16_1_70-74,1
G_16_1_75-79,2
G_16_1_80-84,4
G_16_1_85 y más,1
G_16_1_Menor de 1,9
G_16_2_1-4,22
G_16_2_10-14,15
G_16_2_15-19,13
G_16_2_20-24,16
G_16_2_25-29,11
G_16_2_30-34,14
G_16_2_35-39,10
G_16_2_40-44,13
G_16_2_45-49,4
G_16_2_5-9,21
G_16_2_50-54,10
G_16_2_55-59,8
G_16_2_60-64,8
G_16_2_65-69,3
G_16_2_70-74,4
G_16_2_75-79,4
G_16_2_85 y más,3
G_16_2_Menor de 1,14
G_18_1_35-39,36
G_18_1_50-54,48
G_18_1_55-59,49
G_18_1_75-79,49
G_18_1_85 y más,42
G_18_1_Menor de 1,48
G_18_2_20-24,32
G_18_2_50-54,49
G_18_2_65-69,44
G_18_2_70-74,44
G_18_2_80-84,39
G_18_2_85 y más,44
G_18_2_Menor de 1,24
G_19_1_1-4,31
G_19_1_10-14,41
G_19_1_15-19,48
G_19_1_20-24,33
G_19_1_25-29,29
G_19_1_30-34,16
G_19_1_35-39,9
G_19_1_40-44,12
G_19_1_45-49,6
G_19_1_5-9,38
G_19_1_50-54,9
G_19_1_55-59,8
G_19_1_60-64,8
G_19_1_65-69,4
G_19_1_70-74,11
G_19_1_75-79,5
G_19_1_80-84,2
G_19_1_85 y más,7
G_19_1_Menor de 1,13
G_19_2_1-4,30
G_19_2_10-14,35
G_19_2_15-19,37
G_19_2_20-24,37
G_19_2_25-29,18
G_19_2_30-34,24
G_19_2_35-39,7
G_19_2_40-44,18
G_19_2_45-49,9
G_19_2_5-9,29
G_19_2_50-54,13
G_19_2_55-59,9
G_19_2_60-64,5
G_19_2_65-69,10
G_19_2_70-74,6
G_19_2_75-79,4
G_19_2_80-84,1
G_19_2_85 y más,3
G_19_2_Menor de 1,11
G_20_1_1-4,4
G_20_1_10-14,3
G_20_1_15-19,13
G_20_1_20-24,4
G_20_1_25-29,2
G_20_1_30-34,11
G_20_1_35-39,4
G_20_1_40-44,4
G_20_1_45-49,3
G_20_1_5-9,5
G_20_1_50-54,2
G_20_1_55-59,7
G_20_1_60-64,4
G_20_1_70-74,5
G_20_1_75-79,1
G_20_1_85 y más,1
G_20_1_Menor de 1,2
G_20_2_1-4,6
G_20_2_10-14,8
G_20_2_15-19,4
G_20_2_20-24,3
G_20_2_25-29,7
G_20_2_30-34,5
G_20_2_35-39,3
G_20_2_40-44,3
G_20_2_45-49,7
G_20_2_5-9,6
G_20_2_50-54,3
G_20_2_60-64,3
G_20_2_65-69,2
G_20_2_70-74,2
G_20_2_85 y más,1
G_20_2_Menor de 1,6
G_21_1_1-4,33
G_21_1_10-14,41
G_21_1_15-19,33
G_21_1_20-24,18
G_21_1_25-29,29
G_21_1_30-34,13
G_21_1_35-39,22
G_21_1_40-44,19
G_21_1_45-49,8
G_21_1_5-9,43
G_21_1_50-54,11
G_21_1_55-59,10
G_21_1_60-64,20
G_21_1_65-69,9
G_21_1_70-74,15
G_21_1_75-79,8
G_21_1_80-84,11
G_21_1_85 y más,8
G_21_1_Menor de 1,30
G_21_2_1-4,26
G_21_2_10-14,21
G_21_2_15-19,23
G_21_2_20-24,21
G_21_2_25-29,24
G_21_2_30-34,26
G_21_2_35-39,10
G_21_2_40-44,10
G_21_2_45-49,14
G_21_2_5-9,26
G_21_2_50-54,12
G_21_2_55-59,9
G_21_2_60-64,10
G_21_2_65-69,6
G_21_2_70-74,7
G_21_2_75-79,6
G_21_2_80-84,2
G_21_2_85 y más,6
G_21_2_Menor de 1,18
G_22_1_1-4,19
G_22_1_10-14,13
G_22_1_15-19,12
