llave_sintetica,k
B_03_2_5-9,14
B_03_2_50-54,11
B_03_2_55-59,7
B_03_2_60-64,13
B_03_2_65-69,10
B_03_2_70-74,12
B_03_2_75-79,14
B_03_2_80-84,10
B_03_2_85 y más,16
B_03_2_Menor de 1,7
B_04_1_1-4,5
B_04_1_10-14,4
B_04_1_15-19,3
B_04_1_20-24,7
B_04_1_25-29,4
B_04_1_30-34,9
B_04_1_35-39,6
B_04_1_40-44,4
B_04_1_45-49,1
B_04_1_5-9,5
B_04_1_50-54,3
B_04_1_55-59,1
B_04_1_60-64,4
B_04_1_65-69,4
B_04_1_70-74,4
B_04_1_75-79,4
B_04_1_80-84,2
B_04_1_85 y más,1
B_04_1_Menor de 1,3
B_04_2_1-4,7
B_04_2_10-14,4
B_04_2_15-19,3
B_04_2_20-24,10
B_04_2_25-29,8
B_04_2_30-34,4
B_04_2_35-39,4
B_04_2_40-44,5
B_04_2_45-49,4
B_04_2_5-9,4
B_04_2_50-54,5
B_04_2_55-59,1
B_04_2_60-64,1
B_04_2_65-69,1
B_04_2_70-74,5
B_04_2_75-79,1
B_04_2_85 y más,1
B_04_2_Menor de 1,1
B_05_1_1-4,39
B_05_1_10-14,27
B_05_1_15-19,16
B_05_1_20-24,20
B_05_1_25-29,15
B_05_1_30-34,23
B_05_1_35-39,13
B_05_1_40-44,14
B_05_1_45-49,12
B_05_1_5-9,35
B_05_1_50-54,8
B_05_1_55-59,12
B_05_1_60-64,6
B_05_1_65-69,7
B_05_1_70-74,9
B_05_1_75-79,13
B_05_1_80-84,4
B_05_1_85 y más,4
B_05_1_Menor de 1,13
B_05_2_1-4,23
B_05_2_10-14,32
B_05_2_15-19,19
B_05_2_20-24,11
B_05_2_25-29,11
B_05_2_30-34,21
B_05_2_35-39,9
B_05_2_40-44,11
B_05_2_45-49,15
B_05_2_5-9,25
B_05_2_50-54,4
B_05_2_55-59,11
B_05_2_60-64,11
B_05_2_65-69,8
B_05_2_70-74,7
B_05_2_75-79,5
B_05_2_80-84,3
B_05_2_85 y más,3
B_05_2_Menor de 1,9
B_06_1_1-4,30
B_06_1_10-14,23
B_06_1_15-19,25
B_06_1_20-24,32
B_06_1_25-29,29
B_06_1_30-34,16
B_06_1_35-39,20
B_06_1_40-44,14
B_06_1_45-49,16
B_06_1_5-9,27
B_06_1_50-54,16
B_06_1_55-59,17
B_06_1_60-64,7
B_06_1_65-69,11
B_06_1_70-74,15
B_06_1_75-79,8
B_06_1_80-84,7
B_06_1_85 y más,8
B_06_1_Menor de 1,8
B_06_2_1-4,31
B_06_2_10-14,22
B_06_2_15-19,6
B_06_2_20-24,15
B_06_2_25-29,18
B_06_2_30-34,16
B_06_2_35-39,21
B_06_2_40-44,10
B_06_2_45-49,13
B_06_2_5-9,24
B_06_2_50-54,6
B_06_2_55-59,14
B_06_2_60-64,8
B_06_2_65-69,15
B_06_2_70-74,10
B_06_2_75-79,10
B_06_2_80-84,9
B_06_2_85 y más,23
B_06_2_Menor de 1,7
B_07_1_10-14,25
B_07_1_15-19,14
B_07_1_20-24,49
B_07_1_45-49,43
B_07_1_5-9,39
B_07_1_55-59,27
B_07_1_60-64,34
B_07_1_65-69,32
B_07_1_70-74,17
B_07_1_75-79,10
B_07_1_80-84,8
B_07_1_85 y más,9
B_07_1_Menor de 1,29
B_07_2_1-4,47
B_07_2_10-14,23
B_07_2_15-19,15
B_07_2_20-24,30
B_07_2_25-29,18
B_07_2_30-34,36
B_07_2_35-39,36
B_07_2_40-44,34
B_07_2_45-49,24
